genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
N17-2135,PLY,LU 5 Early,2020,4,11,94,p,NA,g,NA,NA,940.9,14.3,NA,NA,NA
N17-550,PLY,LU 5 Early,2020,1,12,12,p,40,g,1.5,33,1085.4,13.4,2,43.92,22.97
N17-550,PLY,LU 5 Early,2020,2,12,37,p,48,g,1.5,32,1121.1,12.7,3,45.23,21.2
N17-550,PLY,LU 5 Early,2020,3,12,74,p,41,g,NA,NA,1492.5,13.9,2,44.12,22.37
N17-550,PLY,LU 5 Early,2020,4,12,97,p,NA,g,NA,NA,805.9,12.4,NA,NA,NA
N18-175,PLY,LU 5 Early,2020,1,13,27,p,48,t,2,32,1112.6,11.8,2,43.82,22.05
N18-175,PLY,LU 5 Early,2020,2,13,58,p,50,t,1.5,28,954.2,13,2,45.57,21.02
N18-175,PLY,LU 5 Early,2020,3,13,72,p,48,t,NA,NA,1210.8,14.4,2.5,48.39,19.3
N18-175,PLY,LU 5 Early,2020,4,13,106,p,NA,t,NA,NA,1097.3,13.6,NA,NA,NA
N18-235,PLY,LU 5 Early,2020,1,14,21,w,35,g,1.5,22,946.9,10.7,2.5,41.48,24.12
N18-235,PLY,LU 5 Early,2020,2,14,52,w,36,g,1.5,25,806.4,10.6,3,41.14,23.43
N18-235,PLY,LU 5 Early,2020,3,14,82,w,35,g,NA,NA,1218.8,11.8,2.5,41.74,23.8
N18-235,PLY,LU 5 Early,2020,4,14,93,w,NA,g,NA,NA,1069.9,10.8,NA,NA,NA
N18-245,PLY,LU 5 Early,2020,1,15,1,p,38,t,1.5,25,1068.6,11.9,2,44.97,21.08
N18-245,PLY,LU 5 Early,2020,2,15,46,p,47,t,1.5,19,501.7,12.1,2,44.9,20.12
N18-245,PLY,LU 5 Early,2020,3,15,69,p,47,t,NA,NA,1021.6,13.3,2,44.73,20.98
N18-245,PLY,LU 5 Early,2020,4,15,111,p,NA,t,NA,NA,580.5,14.2,NA,NA,NA
N18-285,PLY,LU 5 Early,2020,1,16,26,p,38,t,1.5,22,1088.4,12.1,2,42.63,22.39
N18-285,PLY,LU 5 Early,2020,2,16,59,p,40,t,1.5,22,1015.3,11.7,2,41.81,22.78
N18-285,PLY,LU 5 Early,2020,3,16,84,p,38,t,NA,NA,1142.1,13,2,43.76,22.18
N18-285,PLY,LU 5 Early,2020,4,16,117,p,NA,t,NA,NA,886.9,13.5,NA,NA,NA
N18-296,PLY,LU 5 Early,2020,1,17,30,p,41,t,1.5,22,970.3,12.3,2,42.77,21.98
N18-296,PLY,LU 5 Early,2020,2,17,51,p,45,t,1.5,21,940.5,13.1,2,43.04,21.89
N18-296,PLY,LU 5 Early,2020,3,17,79,p,46,t,NA,NA,879.9,13.5,2,46.25,20.19
N18-296,PLY,LU 5 Early,2020,4,17,100,p,NA,t,NA,NA,1005.5,13.1,NA,NA,NA
N18-326,PLY,LU 5 Early,2020,1,18,10,p,41,t,1.5,24,1045.3,13.5,2.5,45.98,21.76
N18-326,PLY,LU 5 Early,2020,2,18,56,p,47,t,1.5,20,623,13.2,3,46.92,20.21
N18-326,PLY,LU 5 Early,2020,3,18,83,p,38,t,NA,NA,1000.4,13.4,3,46.18,21.43
N18-326,PLY,LU 5 Early,2020,4,18,108,p,NA,t,NA,NA,881.7,11.9,NA,NA,NA
N18-333,PLY,LU 5 Early,2020,1,19,20,w,45,t,1.5,20,970,12.5,3,44.87,22.26
N18-333,PLY,LU 5 Early,2020,2,19,48,w,38,t,1.5,19,542.3,12.3,3,44.8,21.5
N18-333,PLY,LU 5 Early,2020,3,19,62,w,49,t,NA,NA,843.2,11.9,2.5,43.95,22.76
N18-333,PLY,LU 5 Early,2020,4,19,118,w,NA,t,NA,NA,1034.5,12.3,NA,NA,NA
N18-406,PLY,LU 5 Early,2020,1,20,3,p,43,g,1.5,20,1022.8,11.1,2.5,45.51,21.4
N18-406,PLY,LU 5 Early,2020,2,20,35,p,46,g,1.5,20,1242.2,10.9,2.5,44.16,21.03
N18-406,PLY,LU 5 Early,2020,3,20,80,p,38,g,NA,NA,986.8,11,2.5,43.94,22.05
N18-406,PLY,LU 5 Early,2020,4,20,116,p,NA,g,NA,NA,749.7,11.1,NA,NA,NA
N18-409,PLY,LU 5 Early,2020,1,21,9,p,45,g,1.5,24,1064.4,13.9,2,45.13,21.69
N18-409,PLY,LU 5 Early,2020,2,21,54,p,46,g,1.5,22,672.9,11.9,2,41.69,22.82
N18-409,PLY,LU 5 Early,2020,3,21,89,p,40,g,NA,NA,900.6,12.2,2.5,42.84,22.47
N18-409,PLY,LU 5 Early,2020,4,21,95,p,NA,g,NA,NA,891.6,12.4,NA,NA,NA
N18-446,PLY,LU 5 Early,2020,1,22,28,p,38,g,1.5,24,1102.9,11.1,2,45.59,21.21
N18-446,PLY,LU 5 Early,2020,2,22,36,p,46,g,1.5,25,977.9,10.2,2,44.2,22.23
N18-446,PLY,LU 5 Early,2020,3,22,70,p,40,g,NA,NA,948.4,10.8,2,44.91,21.92
N18-446,PLY,LU 5 Early,2020,4,22,96,p,NA,g,NA,NA,904.9,10.7,NA,NA,NA
N18-452,PLY,LU 5 Early,2020,1,23,2,w,35,g,1.5,22,1119,11.2,2,44.39,21.52
N18-452,PLY,LU 5 Early,2020,2,23,34,w,41,g,1.5,24,1093.3,10.6,2,44.28,21.39
N18-452,PLY,LU 5 Early,2020,3,23,61,w,43,g,NA,NA,1119.2,10.8,2,44.56,21.22
N18-452,PLY,LU 5 Early,2020,4,23,103,w,NA,g,NA,NA,1184.8,10.7,NA,NA,NA
N18-672,PLY,LU 5 Early,2020,1,24,5,p,44,t,1.5,26,1361.1,12.9,2,43.47,22.34
N18-672,PLY,LU 5 Early,2020,2,24,55,p,48,t,1.5,24,619.4,13.4,3,44.9,21.15
N18-672,PLY,LU 5 Early,2020,3,24,65,p,46,t,NA,NA,810.9,12.2,2.5,43.51,22.45
N18-672,PLY,LU 5 Early,2020,4,24,104,p,NA,t,NA,NA,988.7,14.1,NA,NA,NA
N18-779,PLY,LU 5 Early,2020,1,25,25,w,45,t,1.5,24,937.2,14.2,2.5,45.56,21.51
N18-779,PLY,LU 5 Early,2020,2,25,31,w,39,t,1.5,20,979.7,11.9,2.5,43.43,22.92
N18-779,PLY,LU 5 Early,2020,3,25,66,w,40,t,NA,NA,935.9,13,2.5,45.18,22.81
N18-779,PLY,LU 5 Early,2020,4,25,112,w,NA,t,NA,NA,925,13.2,NA,NA,NA
N18-789,PLY,LU 5 Early,2020,1,26,24,s,40,t,1.5,23,981.8,12.2,2.5,45.59,22.23
N18-789,PLY,LU 5 Early,2020,2,26,32,s,45,t,1.5,22,820.8,12,2.5,47.49,21.52
N18-789,PLY,LU 5 Early,2020,3,26,85,s,38,t,NA,NA,860.7,12.1,2.5,46.59,22.02
N18-789,PLY,LU 5 Early,2020,4,26,91,s,NA,t,NA,NA,932.6,13.4,NA,NA,NA
Ellis,PLY,LU 5 Early,2020,1,27,15,w,38,g,1.5,24,968.6,11.8,3,43.52,20.47
Ellis,PLY,LU 5 Early,2020,2,27,39,w,36,g,1.5,20,715.7,9.9,2,41.61,22.44
Ellis,PLY,LU 5 Early,2020,3,27,87,w,35,g,NA,NA,1058.6,10.7,2.5,42.25,21.84
Ellis,PLY,LU 5 Early,2020,4,27,102,w,NA,g,NA,NA,1104.6,11.5,NA,NA,NA
Osage,PLY,LU 5 Early,2020,1,28,18,p,41,g,1.5,25,1388.9,11.5,2,45.03,20.97
Osage,PLY,LU 5 Early,2020,2,28,38,p,45,g,1.5,23,1104.6,12.1,2,45.35,20.17
Osage,PLY,LU 5 Early,2020,3,28,75,p,41,g,NA,NA,949.1,11.1,2,44.26,21.86
Osage,PLY,LU 5 Early,2020,4,28,120,p,NA,g,NA,NA,1069.9,10.7,NA,NA,NA
TN11-5102,PLY,LU 5 Early,2020,1,29,16,w,38,g,1.5,24,1112.5,12.6,2,44.78,21.43
TN11-5102,PLY,LU 5 Early,2020,2,29,60,w,47,g,1.5,22,791.4,12.5,2.5,45.3,20.91
TN11-5102,PLY,LU 5 Early,2020,3,29,81,w,39,g,NA,NA,977.1,12.6,2,44.55,21.64
TN11-5102,PLY,LU 5 Early,2020,4,29,110,w,NA,g,NA,NA,743.8,12.4,NA,NA,NA
N16-8531,PLY,LU 5 Early,2020,1,30,6,p,34,g,1.5,25,853.4,10.4,2,42.99,22.02
N16-8531,PLY,LU 5 Early,2020,2,30,49,p,38,g,1.5,20,626.1,10.9,2,43.32,21.65
N16-8531,PLY,LU 5 Early,2020,3,30,73,p,35,g,NA,NA,856.4,11.2,2,44.04,21.05
N16-8531,PLY,LU 5 Early,2020,4,30,105,p,NA,g,NA,NA,755.7,11.1,NA,NA,NA
N17-701,CAS,LU 5 Late,2020,1,1,28,P,28,g,2.5,32,1005.8,22.6,1.5,43.92,21.45
N17-701,CAS,LU 5 Late,2020,2,1,40,P,28,g,2.5,32,1061.4,18.9,1.5,43.98,21.29
N17-701,CAS,LU 5 Late,2020,3,1,100,P,NA,.,NA,NA,743.5,18.3,1.5,43.96,21.36
N17-701,CAS,LU 5 Late,2020,4,1,126,P,NA,.,NA,NA,1337.8,16.7,NA,NA,NA
N17-882,CAS,LU 5 Late,2020,1,2,13,P,28,t,4,30,953.4,18.9,2,47.68,20.77
N17-882,CAS,LU 5 Late,2020,2,2,55,P,28,t,3,30,903.9,17.7,2,48.52,20.52
N17-882,CAS,LU 5 Late,2020,3,2,72,P,NA,.,NA,NA,784.9,18.9,2,48.3,20.11
N17-882,CAS,LU 5 Late,2020,4,2,132,P,NA,.,NA,NA,933.9,17.4,NA,NA,NA
N17-760,CAS,LU 5 Late,2020,1,3,26,P,24,s,2.5,31,1068.2,19.6,1.5,46.23,20.21
N17-760,CAS,LU 5 Late,2020,2,3,44,P,26,s,2.5,32,1041,18.5,1.5,46.31,19.98
N17-760,CAS,LU 5 Late,2020,3,3,98,P,NA,.,NA,NA,1333.3,17.6,1.5,46.38,20.32
N17-760,CAS,LU 5 Late,2020,4,3,110,P,NA,.,NA,NA,988.1,19.2,NA,NA,NA
N17-2319,CAS,LU 5 Late,2020,1,4,34,P,23,g,2.5,32,1196.9,17.7,1.5,44.19,21.69
N17-2319,CAS,LU 5 Late,2020,2,4,47,P,21,g,2,30,1289.9,16.3,1.5,44.7,21.55
N17-2319,CAS,LU 5 Late,2020,3,4,101,P,NA,.,NA,NA,1229.7,18,1.5,43.65,21.67
N17-2319,CAS,LU 5 Late,2020,4,4,113,P,NA,.,NA,NA,1335.6,16.9,NA,NA,NA
N17-742,CAS,LU 5 Late,2020,1,5,25,P,24,g,3,42,1131.4,19.8,1.5,50.09,19.73
N17-742,CAS,LU 5 Late,2020,2,5,49,P,26,g,2.5,42,861,19.6,1.5,50.22,20.43
N17-742,CAS,LU 5 Late,2020,3,5,99,P,NA,.,NA,NA,1012.1,17.4,2,49.41,20.49
N17-742,CAS,LU 5 Late,2020,4,5,109,P,NA,.,NA,NA,1048.4,18.3,NA,NA,NA
N17-1157,CAS,LU 5 Late,2020,1,6,22,P,22,t,4,32,991.6,16,1.5,43.83,22.67
N17-1157,CAS,LU 5 Late,2020,2,6,57,P,20,t,3.5,36,1136.7,15.8,1.5,45.11,21.8
N17-1157,CAS,LU 5 Late,2020,3,6,91,P,NA,.,NA,NA,1066.9,16.5,1.5,45.2,21.88
N17-1157,CAS,LU 5 Late,2020,4,6,119,P,NA,.,NA,NA,1118.6,15.7,NA,NA,NA
N17-682,CAS,LU 5 Late,2020,1,7,8,P,19,t,2.5,34,1230.2,15.7,1.5,43.82,22.51
N17-682,CAS,LU 5 Late,2020,2,7,46,p,20,t,2,34,1208.1,17,1.5,44.2,22.68
N17-682,CAS,LU 5 Late,2020,3,7,92,P,NA,.,NA,NA,1244.8,16.3,1.5,45.66,21.31
N17-682,CAS,LU 5 Late,2020,4,7,120,P,NA,.,NA,NA,1227.2,16.3,NA,NA,NA
N17-1459,CAS,LU 5 Late,2020,1,8,17,P,27,m,4,30,900.8,17.2,2,44.83,22.52
N17-1459,CAS,LU 5 Late,2020,2,8,65,P,26,m,2.5,34,1123.9,16.2,2,43.51,22.86
N17-1459,CAS,LU 5 Late,2020,3,8,80,P,NA,.,NA,NA,713,17.2,2.5,44.76,22.85
N17-1459,CAS,LU 5 Late,2020,4,8,114,P,NA,.,NA,NA,1150.5,15.4,NA,NA,NA
N17-1469,CAS,LU 5 Late,2020,1,9,2,P,26,t,4,36,1124.3,16,1.5,48.04,21.38
N17-1469,CAS,LU 5 Late,2020,2,9,36,P,25,t,3,32,883.7,18.3,1.5,47.33,21.75
N17-1469,CAS,LU 5 Late,2020,3,9,88,P,NA,.,NA,NA,935.2,17.8,1.5,48.96,20.3
N17-1469,CAS,LU 5 Late,2020,4,9,136,P,NA,.,NA,NA,1226.4,15.7,NA,NA,NA
N17-1853,CAS,LU 5 Late,2020,1,10,18,W,24,g,3,33,1127,16.9,1.5,47.75,20.02
N17-1853,CAS,LU 5 Late,2020,2,10,54,W,22,g,2.5,36,971.7,16.7,1.5,48.15,19.76
N17-1853,CAS,LU 5 Late,2020,3,10,95,W,NA,.,NA,NA,1024.8,17,1.5,49.05,19.92
N17-1853,CAS,LU 5 Late,2020,4,10,139,W,NA,.,NA,NA,1124.9,16.7,NA,NA,NA
N17-2202,CAS,LU 5 Late,2020,1,11,4,P,27,t,4,34,1072.9,16.3,1.5,47.51,21.14
N17-2202,CAS,LU 5 Late,2020,2,11,50,P,29,t,4,35,721.4,17.9,1.5,46.97,21.28
N17-2202,CAS,LU 5 Late,2020,3,11,77,P,NA,.,NA,NA,920.3,16.9,1.5,47.24,21.9
N17-2202,CAS,LU 5 Late,2020,4,11,129,P,NA,.,NA,NA,856.5,16.9,NA,NA,NA
N17-2488,CAS,LU 5 Late,2020,1,12,27,P,23,g,1.5,34,1215.9,18.4,1.5,44.06,22.16
N17-2488,CAS,LU 5 Late,2020,2,12,56,P,23,g,1.5,30,1369.3,19,1.5,43.48,23.76
N17-2488,CAS,LU 5 Late,2020,3,12,94,P,NA,.,NA,NA,1357.3,18.5,1.5,43.42,22.56
N17-2488,CAS,LU 5 Late,2020,4,12,131,P,NA,.,NA,NA,1177.4,19.4,NA,NA,NA
N17-2508,CAS,LU 5 Late,2020,1,13,11,P,18,g,4,36,615,14,1.5,44,22.05
N17-2508,CAS,LU 5 Late,2020,2,13,45,P,21,g,2.5,34,859.6,15.3,1.5,44.8,21.37
N17-2508,CAS,LU 5 Late,2020,3,13,71,P,NA,.,NA,NA,736.9,15.3,1.5,45.32,20.99
N17-2508,CAS,LU 5 Late,2020,4,13,135,P,NA,.,NA,NA,1102.4,14,NA,NA,NA
N17-2491,CAS,LU 5 Late,2020,1,14,9,P,23,g,2.5,28,1354.8,16.3,1.5,41.99,22.47
N17-2491,CAS,LU 5 Late,2020,2,14,60,P,25,g,2.5,28,1255.3,16.4,1.5,42.57,22.82
N17-2491,CAS,LU 5 Late,2020,3,14,75,P,NA,.,NA,NA,1421.5,16.1,1.5,40.98,23.59
N17-2491,CAS,LU 5 Late,2020,4,14,116,P,NA,.,NA,NA,1532.2,15.2,NA,NA,NA
N17-2496,CAS,LU 5 Late,2020,1,15,29,P,23,g,2,30,1069.2,17.5,1.5,42.44,22.72
N17-2496,CAS,LU 5 Late,2020,2,15,61,P,25,g,2,28,947.6,17.9,1.5,42.2,23.62
N17-2496,CAS,LU 5 Late,2020,3,15,83,P,NA,.,NA,NA,1193.2,16.4,1.5,42.23,23.05
N17-2496,CAS,LU 5 Late,2020,4,15,108,P,NA,.,NA,NA,1257.8,16.2,NA,NA,NA
N16-600,CAS,LU 5 Late,2020,1,16,33,P,20,t,2.5,34,920,14.7,1.5,47.84,19.81
N16-600,CAS,LU 5 Late,2020,2,16,68,P,23,t,2.5,34,1060.6,15.1,1.5,50.22,18.93
N16-600,CAS,LU 5 Late,2020,3,16,93,P,NA,.,NA,NA,1125.9,14.5,1.5,48.81,19.14
N16-600,CAS,LU 5 Late,2020,4,16,140,P,NA,.,NA,NA,1118.7,15.4,NA,NA,NA
N18-248,CAS,LU 5 Late,2020,1,17,12,M,25,t,4,30,1160.5,16.7,1.5,47.23,20.74
N18-248,CAS,LU 5 Late,2020,2,17,58,M,25,t,2,31,1263.9,17.2,1.5,46.24,20.76
N18-248,CAS,LU 5 Late,2020,3,17,82,S,NA,.,NA,NA,1200,18.2,1.5,47.26,20.37
N18-248,CAS,LU 5 Late,2020,4,17,123,S,NA,.,NA,NA,1420.7,17.5,NA,NA,NA
N18-303,CAS,LU 5 Late,2020,1,18,14,P,26,t,4,37,1074.7,18.7,1.5,47.51,20.85
N18-303,CAS,LU 5 Late,2020,2,18,52,P,28,t,2.5,33,1043.3,19.4,1.5,48.06,19.44
N18-303,CAS,LU 5 Late,2020,3,18,102,P,NA,.,NA,NA,1047.1,20.2,1.5,48.02,19.44
N18-303,CAS,LU 5 Late,2020,4,18,127,P,NA,.,NA,NA,1200.3,18,NA,NA,NA
N18-540,CAS,LU 5 Late,2020,1,19,6,P,26,t,2.5,34,1152.6,17.6,1.5,47.95,20.87
N18-540,CAS,LU 5 Late,2020,2,19,70,P,28,t,3,32,576.3,18.7,1.5,48.88,20.66
N18-540,CAS,LU 5 Late,2020,3,19,81,P,NA,.,NA,NA,903.8,18,1.5,48.11,20.56
N18-540,CAS,LU 5 Late,2020,4,19,107,P,NA,.,NA,NA,1004.9,16.6,NA,NA,NA
N18-679,CAS,LU 5 Late,2020,1,20,16,P,25,t,3.5,30,1287.2,17.4,1.5,44.86,21.62
N18-679,CAS,LU 5 Late,2020,2,20,64,P,25,t,2,28,1254.7,16.7,1.5,44.56,22.18
N18-679,CAS,LU 5 Late,2020,3,20,90,P,NA,.,NA,NA,1098.5,19,1.5,45.44,21.35
N18-679,CAS,LU 5 Late,2020,4,20,121,P,NA,.,NA,NA,1181.9,18.4,NA,NA,NA
N18-688,CAS,LU 5 Late,2020,1,21,7,p,25,t,4,36,1453.4,18.1,1.5,44.23,21.25
N18-688,CAS,LU 5 Late,2020,2,21,66,P,25,t,2.5,34,1270.4,17.6,1.5,44.37,21.45
N18-688,CAS,LU 5 Late,2020,3,21,89,P,NA,.,NA,NA,735.5,17.2,1.5,42.71,22.13
N18-688,CAS,LU 5 Late,2020,4,21,133,P,NA,.,NA,NA,1243.6,18,NA,NA,NA
N18-912,CAS,LU 5 Late,2020,1,22,20,s,26,t,3.5,32,1154.9,19.6,1.5,44.69,23.01
N18-912,CAS,LU 5 Late,2020,2,22,39,S,28,t,3.5,32,895,20,1.5,44.02,23.27
N18-912,CAS,LU 5 Late,2020,3,22,105,S,NA,.,NA,NA,1254.1,16.2,1.5,44.87,23.54
N18-912,CAS,LU 5 Late,2020,4,22,128,M,NA,.,NA,NA,1375.7,18.3,NA,NA,NA
N18-937,CAS,LU 5 Late,2020,1,23,10,P,24,t,4,34,1264.3,17.1,1.5,47.79,20.82
N18-937,CAS,LU 5 Late,2020,2,23,41,P,24,t,4,30,824.3,17.3,1.5,47.15,21.56
N18-937,CAS,LU 5 Late,2020,3,23,74,P,NA,.,NA,NA,1165,16.6,1.5,47.63,21
N18-937,CAS,LU 5 Late,2020,4,23,122,P,NA,.,NA,NA,1024.9,16.5,NA,NA,NA
N18-951,CAS,LU 5 Late,2020,1,24,15,p,25,t,4,34,1240.6,17.2,1.5,47.61,21.54
N18-951,CAS,LU 5 Late,2020,2,24,53,P,25,t,3.5,34,883.2,17.2,1.5,47.86,21.04
N18-951,CAS,LU 5 Late,2020,3,24,76,P,NA,.,NA,NA,1223.8,15.8,1.5,48.5,20.65
N18-951,CAS,LU 5 Late,2020,4,24,138,P,NA,.,NA,NA,1217.5,15.6,NA,NA,NA
N18-952,CAS,LU 5 Late,2020,1,25,1,p,23,t,4,38,1219,15.9,1.5,47.66,20.71
N18-952,CAS,LU 5 Late,2020,2,25,43,P,25,t,4,34,974,17.7,1.5,47.71,21.02
N18-952,CAS,LU 5 Late,2020,3,25,97,P,NA,.,NA,NA,1146.5,15.9,1.5,47.16,21.28
N18-952,CAS,LU 5 Late,2020,4,25,125,P,NA,.,NA,NA,1405.4,14.8,NA,NA,NA
N18-963,CAS,LU 5 Late,2020,1,26,23,W,25,t,3,36,1321.5,17.6,1.5,42.89,23.09
N18-963,CAS,LU 5 Late,2020,2,26,37,W,25,t,3,38,1133.3,17.8,1.5,44.11,21.61
N18-963,CAS,LU 5 Late,2020,3,26,87,W,NA,.,NA,NA,1285.1,16.1,1.5,43.72,22.59
N18-963,CAS,LU 5 Late,2020,4,26,117,W,NA,.,NA,NA,1419.9,15.3,NA,NA,NA
N18-972,CAS,LU 5 Late,2020,1,27,3,P,25,t,4.5,40,1334.9,17.6,1.5,47.65,20.74
N18-972,CAS,LU 5 Late,2020,2,27,69,P,27,t,3.5,32,776.6,15.7,1.5,47.36,21.29
N18-972,CAS,LU 5 Late,2020,3,27,73,P,NA,.,NA,NA,1018.3,17.2,1.5,48.25,21.07
N18-972,CAS,LU 5 Late,2020,4,27,137,P,NA,.,NA,NA,1219.1,15.8,NA,NA,NA
N18-973,CAS,LU 5 Late,2020,1,28,35,P,25,t,2.5,36,1216.9,15.6,1.5,42.13,23.48
N18-973,CAS,LU 5 Late,2020,2,28,48,p,23,t,3,42,1232.6,15.5,1.5,42.71,23.26
N18-973,CAS,LU 5 Late,2020,3,28,103,P,NA,.,NA,NA,1301.7,14.8,1.5,43.99,23.03
N18-973,CAS,LU 5 Late,2020,4,28,130,P,NA,.,NA,NA,1353.4,15.1,NA,NA,NA
N18-976,CAS,LU 5 Late,2020,1,29,31,P,26,t,4,37,1066.8,18.2,1.5,48.31,20.61
N18-976,CAS,LU 5 Late,2020,2,29,51,P,25,t,4,37,840.9,17,1.5,48.25,20.76
N18-976,CAS,LU 5 Late,2020,3,29,78,P,NA,.,NA,NA,1173.3,16,1.5,47.32,21.29
N18-976,CAS,LU 5 Late,2020,4,29,118,P,NA,.,NA,NA,1277.7,16.5,NA,NA,NA
N18-1188,CAS,LU 5 Late,2020,1,30,32,P,25,t,2.5,32,1141.6,18,1.5,45.78,20.96
N18-1188,CAS,LU 5 Late,2020,2,30,62,P,27,t,2.5,32,1185.6,17.7,1.5,47,20.05
N18-1188,CAS,LU 5 Late,2020,3,30,79,P,NA,.,NA,NA,1180.6,17.9,1.5,45.82,20.96
N18-1188,CAS,LU 5 Late,2020,4,30,112,P,NA,.,NA,NA,1227.7,18.8,NA,NA,NA
N18-1218,CAS,LU 5 Late,2020,1,31,21,p,28,t,3.5,36,953,19,1.5,44.74,21.23
N18-1218,CAS,LU 5 Late,2020,2,31,42,P,29,t,2.5,34,835,19.6,1.5,45.97,20.82
N18-1218,CAS,LU 5 Late,2020,3,31,104,P,NA,.,NA,NA,1224,17.6,1.5,45.68,21
N18-1218,CAS,LU 5 Late,2020,4,31,111,P,NA,.,NA,NA,1036.5,19.1,NA,NA,NA
N18-1302,CAS,LU 5 Late,2020,1,32,5,P,27,t,3,33,1196.3,15,1.5,47.23,21.09
N18-1302,CAS,LU 5 Late,2020,2,32,67,P,27,t,2.5,32,869.7,14.3,1.5,45.68,21.55
N18-1302,CAS,LU 5 Late,2020,3,32,86,P,NA,.,NA,NA,1277.5,14.3,1.5,46.45,21.34
N18-1302,CAS,LU 5 Late,2020,4,32,124,P,NA,.,NA,NA,1398.4,14.5,NA,NA,NA
TN11-5140,CAS,LU 5 Late,2020,1,33,24,M,28,g,4,35,982.4,16.3,2,44.02,21.62
TN11-5140,CAS,LU 5 Late,2020,2,33,59,W,27,g,3,32,860.6,15.3,2,43.58,21.7
TN11-5140,CAS,LU 5 Late,2020,3,33,84,W,NA,.,NA,NA,1196.5,14.9,2,43.35,21.76
TN11-5140,CAS,LU 5 Late,2020,4,33,106,W,NA,.,NA,NA,1249.2,15.2,NA,NA,NA
Osage,CAS,LU 5 Late,2020,1,34,30,P,22,g,2,30,1052.2,15,1.5,46.24,20.76
Osage,CAS,LU 5 Late,2020,2,34,63,P,25,g,1.5,30,972.1,15.3,2,46.88,20.59
Osage,CAS,LU 5 Late,2020,3,34,85,P,NA,.,NA,NA,1277.5,13.6,1.5,45.73,21.33
Osage,CAS,LU 5 Late,2020,4,34,134,P,NA,.,NA,NA,1311.2,14,NA,NA,NA
N16-8564,CAS,LU 5 Late,2020,1,35,19,P,23,g,2.5,32,1197.9,14.9,2,45.65,21.01
N16-8564,CAS,LU 5 Late,2020,2,35,38,P,25,g,2,30,965.6,15,2,45.16,21.07
N16-8564,CAS,LU 5 Late,2020,3,35,96,P,NA,.,NA,NA,1316.2,14.5,2,45.03,21.52
N16-8564,CAS,LU 5 Late,2020,4,35,115,P,NA,.,NA,NA,1423.3,14.1,NA,NA,NA
N17-701,PLY,LU 5 Late,2020,1,1,16,p,46,g,1.5,23,1274.7,13.7,2,44.52,21.29
N17-701,PLY,LU 5 Late,2020,2,1,37,p,46,g,1.5,27,1485.5,14.9,2,43.36,21.95
N17-701,PLY,LU 5 Late,2020,3,1,94,p,NA,g,NA,NA,1377.9,13.8,2,44.87,20.78
N17-701,PLY,LU 5 Late,2020,4,1,119,p,NA,g,NA,NA,1334.1,NA,NA,NA,NA
N17-882,PLY,LU 5 Late,2020,1,2,17,p,45,lt,1.5,21,1030.8,13.9,1,45.92,22.07
N17-882,PLY,LU 5 Late,2020,2,2,61,p,43,lt,1.5,26,1077.1,14.9,2,45.13,22.26
N17-882,PLY,LU 5 Late,2020,3,2,101,p,NA,lt,NA,NA,1233.4,14.4,1.5,45.66,21.4
N17-882,PLY,LU 5 Late,2020,4,2,136,p,NA,lt,NA,NA,991.5,NA,NA,NA,NA
N17-760,PLY,LU 5 Late,2020,1,3,19,p,52,s,1.5,21,1081.6,14.6,3,47.31,20.36
N17-760,PLY,LU 5 Late,2020,2,3,65,p,54,s,1.5,24,1000.5,15.6,3,48.07,19.27
N17-760,PLY,LU 5 Late,2020,3,3,105,p,NA,s,NA,NA,1491.9,15,2,46.44,21.4
N17-760,PLY,LU 5 Late,2020,4,3,126,p,NA,s,NA,NA,1411.8,NA,NA,NA,NA
N17-2319,PLY,LU 5 Late,2020,1,4,5,p,48,g,1.5,19,883.6,12.6,3,45.21,20.86
N17-2319,PLY,LU 5 Late,2020,2,4,52,p,46,g,1.5,26,1307.1,15,2.5,42.59,22.52
N17-2319,PLY,LU 5 Late,2020,3,4,83,p,NA,g,NA,NA,934,13.1,3,44.83,21.23
N17-2319,PLY,LU 5 Late,2020,4,4,130,p,NA,g,NA,NA,1117.6,NA,NA,NA,NA
N17-742,PLY,LU 5 Late,2020,1,5,23,p,48,g,2,34,1135.8,16,2.5,47.7,20.57
N17-742,PLY,LU 5 Late,2020,2,5,49,p,46,g,2,40,1294.1,15,2.5,46.81,21.21
N17-742,PLY,LU 5 Late,2020,3,5,79,p,NA,g,NA,NA,500.3,12.6,4,49.65,19.27
N17-742,PLY,LU 5 Late,2020,4,5,133,p,NA,g,NA,NA,1188.7,NA,NA,NA,NA
N17-1157,PLY,LU 5 Late,2020,1,6,20,p,52,t,1.5,24,892.9,14.2,2.5,44.25,21.89
N17-1157,PLY,LU 5 Late,2020,2,6,48,p,46,t,1.5,27,1207.9,12.7,2,44.15,22.45
N17-1157,PLY,LU 5 Late,2020,3,6,92,p,NA,t,NA,NA,1172.8,11.8,2,44.89,21.9
N17-1157,PLY,LU 5 Late,2020,4,6,116,p,NA,t,NA,NA,1365.3,NA,NA,NA,NA
N17-682,PLY,LU 5 Late,2020,1,7,10,p,46,t,1,20,729.1,12.9,2.5,42.41,22.31
N17-682,PLY,LU 5 Late,2020,2,7,38,p,44,t,1,27,1271.7,11.8,2.5,41.49,22.71
