genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,protein_dry_basis,oil_dry_basis
RM19-2751,CAS,HIF 6,2020,1,20,6,P,8,t,1.5,31,911.6,16.5,NA,50.44,19.75
RM19-2751,CAS,HIF 6,2020,2,20,46,P,8,t,1,31,938.2,15.6,NA,50.38,19.65
RM19-2751,CAS,HIF 6,2020,3,20,81,P,NA,t,NA,NA,949.8,16.5,NA,50.9,19.53
RM19-2752,CAS,HIF 6,2020,1,21,20,P,8,g,2.5,48,1226.9,14.3,NA,43.41,22.29
RM19-2752,CAS,HIF 6,2020,2,21,58,P,8,g,1.5,42,1296.5,13.6,NA,43.57,21.91
RM19-2752,CAS,HIF 6,2020,3,21,63,P,NA,g,NA,NA,1290.3,14.6,NA,43.87,21.44
RM19-2753,CAS,HIF 6,2020,1,22,26,P,8,g,2,48,1278.5,15.8,NA,44.8,20.86
RM19-2753,CAS,HIF 6,2020,2,22,31,P,8,g,2,39,1189.4,14.8,NA,44.35,21.68
RM19-2753,CAS,HIF 6,2020,3,22,66,P,NA,g,NA,NA,1156.1,14.7,NA,44.13,21.29
RM19-2754,CAS,HIF 6,2020,1,23,1,P,8,g,2.5,45,946.8,12.5,NA,47.36,20.03
RM19-2754,CAS,HIF 6,2020,2,23,41,P,8,g,2,44,1049.1,13,NA,47.12,20.53
RM19-2754,CAS,HIF 6,2020,3,23,64,P,NA,g,NA,NA,989.8,13.1,NA,46.58,19.98
