test,loc,year,genotype,code,rep,plot,md,ht,lod,oil_dry_basis,protein_dry_basis,yield,sdwt,sq
Jay Test 2,CLA,2020,N18-1627,13,4,80,NA,34,2,NA,NA,42.5205,NA,1.5
Jay Test 2,CLA,2020,N18-1783,14,1,7,53,34,2.5,21.26,46.09,56.0736,17.3,2
Jay Test 2,CLA,2020,N18-1783,14,2,30,55,38,2.5,19.92,47.96,47.5992,16.9,2
Jay Test 2,CLA,2020,N18-1783,14,3,56,50,35,2,NA,NA,33.9603,16.4,1.5
Jay Test 2,CLA,2020,N18-1783,14,4,62,NA,38,2,NA,NA,41.8044,NA,1.5
Jay Test 2,CLA,2020,N18-1769,15,1,5,50,31,2.5,19.1,48.83,51.6912,19.3,1.5
Jay Test 2,CLA,2020,N18-1769,15,2,38,50,30,2,18.93,49,45.0186,19,2.5
Jay Test 2,CLA,2020,N18-1769,15,3,46,49,30,2,NA,NA,46.2462,18.5,2
Jay Test 2,CLA,2020,N18-1769,15,4,66,NA,31,1.5,NA,NA,30.3237,NA,2
Jay Test 2,CLA,2020,Osage,16,1,12,55,30,1,21.05,45.75,41.5008,16.6,2.5
Jay Test 2,CLA,2020,Osage,16,2,39,44,31,1.5,NA,NA,56.5884,17.3,1.5
Jay Test 2,CLA,2020,Osage,16,3,49,45,33,1.5,NA,NA,54.4434,17.3,1.5
Jay Test 2,CLA,2020,Osage,16,4,64,42,28,1.5,NA,NA,33.9372,NA,2
Jay Test 2,CLA,2020,Ellis,17,1,18,49,34,1.5,20.96,43.13,63.6009,16.5,2.5
Jay Test 2,CLA,2020,Ellis,17,2,23,50,32,1.5,21.15,43.19,50.5263,16.3,2.5
Jay Test 2,CLA,2020,Ellis,17,3,54,42,31,1,NA,NA,48.1932,15.5,2.5
Jay Test 2,CLA,2020,Ellis,17,4,67,42,28,1,NA,NA,35.1153,NA,2
Jay Test 2,CLA,2020,Dunphy,18,1,10,55,30,1.5,21.18,42.45,61.5582,17.9,2.5
Jay Test 2,CLA,2020,Dunphy,18,2,25,55,27,1.5,22.54,40.78,45.3123,18.2,2
Jay Test 2,CLA,2020,Dunphy,18,3,50,55,36,2,NA,NA,54.6744,18.8,2.5
Jay Test 2,CLA,2020,Dunphy,18,4,77,NA,28,1.5,NA,NA,34.3068,NA,2.5
Jay Test 2,CLA,2020,N09-09,19,1,13,49,38,2,19.56,46.45,51.3051,18,2.5
Jay Test 2,CLA,2020,N09-09,19,2,33,59,39,2.5,18.43,48.27,50.0511,18.3,2
Jay Test 2,CLA,2020,N09-09,19,3,57,55,40,2,NA,NA,22.2057,18.2,2
Jay Test 2,CLA,2020,N09-09,19,4,71,NA,36,2,NA,NA,42.8307,NA,2.5
Jay Test 2,CLA,2020,N10-687,20,1,11,55,37,1.5,19.7,45.09,55.2486,16,2
Jay Test 2,CLA,2020,N10-687,20,2,24,55,36,1.5,19.91,44.07,54.1464,14,1.5
Jay Test 2,CLA,2020,N10-687,20,3,52,55,38,1,NA,NA,45.0384,14.8,2
Jay Test 2,CLA,2020,N10-687,20,4,74,NA,33,1,NA,NA,32.7327,NA,1.5
Jay Test 2,CAS,2020,N18-1575,1,1,1,27,31,3.5,19.46,49.31,33.2013,19.4,3
Jay Test 2,CAS,2020,N18-1575,1,2,38,NA,32,2,18.95,50.81,31.3929,19.7,2
Jay Test 2,CAS,2020,N18-1575,1,3,54,NA,35,3.5,NA,NA,30.9969,19.7,3
Jay Test 2,CAS,2020,N18-1575,1,4,76,NA,35,3.5,NA,NA,32.6601,NA,NA
Jay Test 2,CAS,2020,N18-1579,2,1,9,27,35,4,21.65,44.18,27.324,18,1.5
Jay Test 2,CAS,2020,N18-1579,2,2,24,26,41,3,21.57,44.25,35.1384,18.2,1.5
Jay Test 2,CAS,2020,N18-1579,2,3,45,NA,36,3,NA,NA,36.3528,17.8,2
Jay Test 2,CAS,2020,N18-1579,2,4,68,NA,35,4,NA,NA,21.153,NA,NA
Jay Test 2,CAS,2020,N18-1628,3,1,14,27,33,3,18.49,50.19,32.0166,16.2,3
Jay Test 2,CAS,2020,N18-1628,3,2,23,27,37,3,18.69,50.13,23.2551,15.9,3
Jay Test 2,CAS,2020,N18-1628,3,3,58,NA,32,3.5,NA,NA,23.3277,15.7,3
Jay Test 2,CAS,2020,N18-1628,3,4,74,NA,35,4,NA,NA,33.8316,NA,NA
Jay Test 2,CAS,2020,N18-1615,4,1,16,26,38,3.5,21.37,44.11,28.9938,16.7,2
Jay Test 2,CAS,2020,N18-1615,4,2,40,26,32,3,20.88,44.66,30.5844,18.6,2
Jay Test 2,CAS,2020,N18-1615,4,3,59,NA,40,3,NA,NA,31.8285,18,3
Jay Test 2,CAS,2020,N18-1615,4,4,77,NA,36,3.5,NA,NA,40.3755,NA,NA
Jay Test 2,CAS,2020,N18-1796,5,1,10,26,37,3.5,18.9,49.58,33.8052,16.6,1.5
Jay Test 2,CAS,2020,N18-1796,5,2,34,26,35,2.5,19.52,49.36,30.7065,15.3,1.5
Jay Test 2,CAS,2020,N18-1796,5,3,47,NA,36,3,NA,NA,34.2144,16.6,1.5
Jay Test 2,CAS,2020,N18-1796,5,4,70,NA,33,4,NA,NA,24.7533,NA,NA
