genotype,loc,test,year,rep,code,plot,fc,md,pub,lod,ht,yield,sdwt,sq,notes,note1,note2,nir_no,date_time_of_analysis,moisture,oil_dry_basis,protein_dry_basis,linoleic_acid_dry_basis,linolenic_acid_dry_basis,oleic_acid_dry_basis,palmitic_acid_dry_basis,stearic_acid_dry_basis,bar_code,twt_moisture,twt_weight,twt_temperature,twt_date_time,...10
N19-1364,CAS,LU 6 Late-21,2021,2,34,65,P,28,t,1,37,2678.5,15.6,1,NA,NA,NA,NIR-08886,2022-02-15T14:11:38Z,6.63,22.55,42.43,63.3,8.27,12,11.77,3.87,2021_CAS_LU 6 Late-21_34_N19-1364_2_NIR-08886,8.4,57.1,72,2022-02-04T07:56:01Z,NA
N19-1364,CAS,LU 6 Late-21,2021,3,34,87,P,NA,g,NA,38,2464.7,16.6,NA,NA,NA,NA,NIR-08887,2022-02-15T14:12:17Z,6.97,22.45,43.34,59.2,8.64,15.7,12.02,3.66,2021_CAS_LU 6 Late-21_34_N19-1364_3_NIR-08887,9.2,56.4,71.2,2022-02-04T07:56:32Z,NA
N19-1364,CAS,LU 6 Late-21,2021,4,34,139,P,NA,g,NA,NA,2664.5,16.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,56.3,71.6,2022-02-04T07:57:06Z,NA
N19-1365,CAS,LU 6 Late-21,2021,1,35,23,P,28,g,1.5,41,2581.1,13.9,1.5,NA,NA,NA,NIR-08888,2022-02-15T14:12:47Z,6.97,22.05,41.82,66.61,9.01,9.2,13.54,4.19,2021_CAS_LU 6 Late-21_35_N19-1365_1_NIR-08888,8.2,56.9,71.9,2022-02-04T07:58:20Z,NA
N19-1365,CAS,LU 6 Late-21,2021,2,35,68,P,28,g,2,38,2641.4,13.7,1.5,NA,NA,NA,NIR-08889,2022-02-15T14:13:15Z,7.17,21.68,42.08,60.02,9.71,13.05,12.58,4.51,2021_CAS_LU 6 Late-21_35_N19-1365_2_NIR-08889,8.3,56.7,71.7,2022-02-04T07:58:52Z,NA
N19-1365,CAS,LU 6 Late-21,2021,3,35,89,P,NA,g,NA,44,2628.1,14.8,NA,NA,NA,NA,NIR-08890,2022-02-15T14:13:47Z,7.07,21.29,43.36,62.25,9.97,12.39,12.79,4.28,2021_CAS_LU 6 Late-21_35_N19-1365_3_NIR-08890,8.9,56.4,71.5,2022-02-04T07:59:23Z,NA
N19-1365,CAS,LU 6 Late-21,2021,4,35,121,P,NA,g,NA,NA,2579.4,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.5,57.1,71.6,2022-02-04T07:59:52Z,NA
N19-1468,CAS,LU 6 Late-21,2021,1,36,22,P,27,t,1.5,38,3067.6,13.4,1,NA,NA,NA,NIR-08891,2022-02-15T14:14:19Z,6.89,23.34,39.75,64.99,8.84,8.16,13.15,4.25,2021_CAS_LU 6 Late-21_36_N19-1468_1_NIR-08891,8.6,56.8,72.4,2022-02-04T08:01:48Z,NA
N19-1468,CAS,LU 6 Late-21,2021,2,36,76,P,25,t,1.5,38,2673.7,13.2,1,NA,NA,NA,NIR-08892,2022-02-15T14:14:48Z,6.7,23.07,40.6,65.46,8.84,8.43,13.25,4.11,2021_CAS_LU 6 Late-21_36_N19-1468_2_NIR-08892,9.2,56.5,71.6,2022-02-04T08:02:20Z,NA
N19-1468,CAS,LU 6 Late-21,2021,3,36,118,P,NA,t,NA,38,2849.3,13.8,NA,NA,NA,NA,NIR-08893,2022-02-15T14:15:17Z,7.08,22.75,41.34,62.82,8.92,12.15,11.51,3.9,2021_CAS_LU 6 Late-21_36_N19-1468_3_NIR-08893,8.8,56.2,71.6,2022-02-04T08:03:19Z,NA
N19-1468,CAS,LU 6 Late-21,2021,4,36,147,P,NA,t,NA,NA,2744.9,13.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.9,56.5,71.6,2022-02-04T08:03:49Z,NA
N19-1485,CAS,LU 6 Late-21,2021,1,37,8,W,29,g,1,34,2591.5,14.4,1.5,NA,NA,NA,NIR-08894,2022-02-15T14:15:45Z,6.93,21.79,42.75,69.7,8.34,7.34,10.94,3.99,2021_CAS_LU 6 Late-21_37_N19-1485_1_NIR-08894,8.3,56.5,71.6,2022-02-04T08:04:53Z,NA
N19-1485,CAS,LU 6 Late-21,2021,2,37,60,W,28,g,1.5,40,2590.6,15.2,1.5,NA,NA,NA,NIR-08895,2022-02-15T14:16:11Z,6.93,22.4,42.75,70.05,8.65,3.82,13.29,3.98,2021_CAS_LU 6 Late-21_37_N19-1485_2_NIR-08895,9,56.9,71.6,2022-02-04T08:05:29Z,NA
N19-1485,CAS,LU 6 Late-21,2021,3,37,86,W,NA,g,NA,41,2735.9,16.3,NA,NA,NA,NA,NIR-08896,2022-02-15T14:16:38Z,6.65,22.16,43.05,73.03,8.28,2.15,12.88,3.81,2021_CAS_LU 6 Late-21_37_N19-1485_3_NIR-08896,8.5,56.3,71.7,2022-02-04T08:06:00Z,NA
N19-1485,CAS,LU 6 Late-21,2021,4,37,138,W,NA,g,NA,NA,2747.9,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.8,56.5,71.7,2022-02-04T08:06:31Z,NA
Dunphy,CAS,LU 6 Late-21,2021,1,38,9,P,19,g,1.5,34,3259.5,15.9,1.5,NA,NA,NA,NIR-08897,2022-02-15T14:17:08Z,6.79,23.11,39.82,61.23,9.36,13.19,12.25,3.82,2021_CAS_LU 6 Late-21_38_Dunphy_1_NIR-08897,8.3,54.1,72.4,2022-02-04T08:07:40Z,NA
Dunphy,CAS,LU 6 Late-21,2021,2,38,46,P,18,g,1.5,31,2948.9,15.8,1.5,NA,NA,NA,NIR-08898,2022-02-15T14:17:38Z,6.43,23.54,39.16,59.95,9.5,10.93,12.88,4.49,2021_CAS_LU 6 Late-21_38_Dunphy_2_NIR-08898,9.1,53.7,71.5,2022-02-04T08:08:11Z,NA
Dunphy,CAS,LU 6 Late-21,2021,3,38,102,P,NA,g,NA,32,3142.7,16.2,NA,NA,NA,NA,NIR-08899,2022-02-15T14:18:09Z,6.69,23.38,40.53,61.19,9.07,12.98,12.44,3.98,2021_CAS_LU 6 Late-21_38_Dunphy_3_NIR-08899,8.3,54.4,72.1,2022-02-04T08:08:42Z,NA
Dunphy,CAS,LU 6 Late-21,2021,4,38,141,P,NA,g,NA,NA,3054.6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,53.9,71.7,2022-02-04T08:09:11Z,NA
NC-Dilday,CAS,LU 6 Late-21,2021,1,39,39,P,20,g,2,40,3080,16.9,1,NA,NA,NA,NIR-08900,2022-02-15T14:18:46Z,6.97,23.88,38.33,68.24,9.18,5.01,12.86,3.9,2021_CAS_LU 6 Late-21_39_NC-Dilday_1_NIR-08900,8.3,56.1,71.6,2022-02-04T08:10:29Z,NA
NC-Dilday,CAS,LU 6 Late-21,2021,2,39,45,P,21,g,1.5,38,2879.6,16.7,1,NA,NA,NA,NIR-08901,2022-02-15T14:19:11Z,7.11,23.77,38.51,70.75,8.81,3.46,13.08,3.89,2021_CAS_LU 6 Late-21_39_NC-Dilday_2_NIR-08901,9.7,56,71.6,2022-02-04T08:10:58Z,NA
NC-Dilday,CAS,LU 6 Late-21,2021,3,39,112,P,NA,g,NA,39,2997,17.5,NA,NA,NA,NA,NIR-08902,2022-02-15T14:19:41Z,7.26,23.27,39.62,67.23,8.83,8.16,12.5,3.89,2021_CAS_LU 6 Late-21_39_NC-Dilday_3_NIR-08902,8.5,55.3,71.5,2022-02-04T08:11:30Z,NA
NC-Dilday,CAS,LU 6 Late-21,2021,4,39,152,P,NA,g,NA,NA,2764.3,17.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,55.7,71.5,2022-02-04T08:12:03Z,NA
USDA-N6005,CAS,LU 6 Late-21,2021,1,40,14,W,20,g,1,30,3286,12.4,1,NA,NA,NA,NIR-08903,2022-02-15T14:20:22Z,6.44,23.43,39.23,63.25,9.15,9.82,12.94,3.98,2021_CAS_LU 6 Late-21_40_USDA-N6005_1_NIR-08903,8.1,55.3,71.9,2022-02-04T08:13:19Z,NA
USDA-N6005,CAS,LU 6 Late-21,2021,2,40,74,W,20,g,1.5,32,3397.1,11.9,1,NA,NA,NA,NIR-08904,2022-02-15T14:20:53Z,6.48,23.99,38.63,63.23,8.5,10.22,12.68,3.88,2021_CAS_LU 6 Late-21_40_USDA-N6005_2_NIR-08904,8.6,55.4,72,2022-02-04T08:13:51Z,NA
USDA-N6005,CAS,LU 6 Late-21,2021,3,40,110,W,NA,g,NA,31,3008.1,12.3,NA,NA,NA,NA,NIR-08905,2022-02-15T14:21:22Z,6.5,23.35,39.85,64.86,8.84,9.09,12.06,3.89,2021_CAS_LU 6 Late-21_40_USDA-N6005_3_NIR-08905,8.5,55.2,72.3,2022-02-04T08:14:23Z,NA
USDA-N6005,CAS,LU 6 Late-21,2021,4,40,132,W,NA,g,NA,NA,3109.6,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,55.2,71.9,2022-02-04T08:14:52Z,NA
N19-0782,PLY,LU 6 Late-21,2021,1,5,1,p,23,g,1.5,42,1746.7,13.5,1,NA,NA,NA,NIR-08918,2022-01-20T14:22:14Z,7.14,21.85,42.75,65.67,10.48,5.72,10.8,4.34,2021_PLY_LU 6 Late-21_5_N19-0782_1_NIR-08918,7.3,57.8,74.1,2022-01-24T12:20:38Z,NA
N19-1349,PLY,LU 6 Late-21,2021,1,31,2,p,23,g,1.5,32,1846.3,15.1,1.5,NA,NA,NA,NIR-08996,2022-01-20T15:00:38Z,7.01,23.18,42.61,67.27,8.75,8.34,11.94,4.11,2021_PLY_LU 6 Late-21_31_N19-1349_1_NIR-08996,6.5,56.9,66.6,2022-01-25T07:31:09Z,NA
N19-0850,PLY,LU 6 Late-21,2021,1,11,3,p,23,g,1.5,40,1603.5,11.7,1.5,NA,NA,NA,NIR-08936,2022-01-20T14:30:52Z,7.16,21.94,42.41,62.77,8.92,12.37,12.6,4,2021_PLY_LU 6 Late-21_11_N19-0850_1_NIR-08936,7.1,56.7,75.2,2022-01-24T12:39:34Z,NA
N19-0820,PLY,LU 6 Late-21,2021,1,7,4,s,29,t,1,32,1933.8,14,2.5,NA,NA,NA,NIR-08924,2022-01-20T14:25:06Z,7.41,20.65,45.06,61.47,9.86,12.46,11.87,4.4,2021_PLY_LU 6 Late-21_7_N19-0820_1_NIR-08924,7.3,57.6,74.5,2022-01-24T12:27:29Z,NA
N19-1359,PLY,LU 6 Late-21,2021,1,33,5,p,27,t,1.5,35,1341.1,13.4,1.5,NA,NA,NA,NIR-09002,2022-01-20T15:03:34Z,6.9,22.25,44.35,67.48,9.63,8.53,12.67,3.83,2021_PLY_LU 6 Late-21_33_N19-1359_1_NIR-09002,6.5,58.2,68.1,2022-01-25T07:36:55Z,NA
N19-0995,PLY,LU 6 Late-21,2021,1,13,6,p,25,g,1.5,30,1355.7,12.4,1.5,NA,NA,NA,NIR-08942,2022-01-20T14:33:37Z,7.3,20.51,45.01,67.01,11.45,3,11.8,4.32,2021_PLY_LU 6 Late-21_13_N19-0995_1_NIR-08942,7.2,57.2,74.3,2022-01-24T12:47:34Z,NA
N19-0836,PLY,LU 6 Late-21,2021,1,9,7,w,20,t,1.5,34,1849.8,14.4,1,NA,NA,NA,NIR-08930,2022-01-20T14:28:01Z,7.38,22.23,43.32,62.39,8.9,13.48,12.28,3.81,2021_PLY_LU 6 Late-21_9_N19-0836_1_NIR-08930,7.1,57.5,75.6,2022-01-24T12:33:26Z,NA
N19-1052,PLY,LU 6 Late-21,2021,1,17,8,w,21,g,1,36,1645.3,13.8,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,57.1,63.1,2022-01-25T06:34:52Z,NA
N19-1485,PLY,LU 6 Late-21,2021,1,37,9,w,28,g,1.5,40,1884.1,14.1,1.5,NA,NA,NA,NIR-09014,2022-01-20T15:08:33Z,7.31,22.59,43.2,63.49,8.53,9.96,11.94,4.45,2021_PLY_LU 6 Late-21_37_N19-1485_1_NIR-09014,6.6,57.8,68.3,2022-01-25T07:52:38Z,NA
N19-1109,PLY,LU 6 Late-21,2021,1,23,10,p,26,t,1.5,36,2047.3,13.7,1.5,NA,NA,NA,NIR-08972,2022-01-20T14:48:39Z,7.3,21.38,45.21,63.98,10.17,13.45,11.03,4.03,2021_PLY_LU 6 Late-21_23_N19-1109_1_NIR-08972,6.7,57.6,64.2,2022-01-25T07:02:54Z,NA
N19-1227,PLY,LU 6 Late-21,2021,1,26,11,w,27,t,2,38,1719.9,13.4,1.5,NA,NA,NA,NIR-08981,2022-01-20T14:53:39Z,6.55,23.06,41,64.75,9.2,9.34,12.32,4.22,2021_PLY_LU 6 Late-21_26_N19-1227_1_NIR-08981,6.7,57.4,66.5,2022-01-25T07:15:00Z,NA
N19-1174,PLY,LU 6 Late-21,2021,1,24,12,w,26,g,2,38,1645.2,14.2,1,NA,NA,NA,NIR-08975,2022-01-20T14:50:05Z,7.03,21.14,43.12,57.37,9.7,16.95,13.45,5.38,2021_PLY_LU 6 Late-21_24_N19-1174_1_NIR-08975,6.7,56.1,65.4,2022-01-25T07:09:01Z,NA
NC-Dilday,PLY,LU 6 Late-21,2021,1,39,13,p,18,g,1.5,34,1888.9,15.3,1,NA,NA,NA,NIR-09020,2022-01-20T15:11:04Z,7.01,23.73,40.41,65.45,8.54,10.37,12.81,3.8,2021_PLY_LU 6 Late-21_39_NC-Dilday_1_NIR-09020,6.2,57.3,67.8,2022-01-25T07:59:44Z,NA
N19-1042,PLY,LU 6 Late-21,2021,1,16,14,w,26,g,2,36,1845.7,11.9,1,NA,NA,NA,NIR-08951,2022-01-20T14:37:57Z,7.22,20.79,45.28,63.57,8.76,12.28,12.39,3.6,2021_PLY_LU 6 Late-21_16_N19-1042_1_NIR-08951,6.7,56.6,63,2022-01-25T06:30:20Z,NA
Dunphy,PLY,LU 6 Late-21,2021,1,38,15,p,19,g,1,25,1906.5,15.8,1,NA,NA,NA,NIR-09017,2022-01-20T15:09:45Z,6.61,22.16,43.41,63.53,9.13,10.52,11.89,4.47,2021_PLY_LU 6 Late-21_38_Dunphy_1_NIR-09017,6.8,56.5,64.7,2022-01-25T07:56:21Z,NA
N19-1041,PLY,LU 6 Late-21,2021,1,15,16,s,21,g,1,30,1613.4,11.3,1.5,NA,NA,NA,NIR-08948,2022-01-20T14:36:31Z,7.1,22.51,43.78,67.12,7.32,9.89,12.22,3.81,2021_PLY_LU 6 Late-21_15_N19-1041_1_NIR-08948,6.6,56.7,63.2,2022-01-25T06:26:53Z,NA
N19-1220,PLY,LU 6 Late-21,2021,1,25,17,s,21,g,1,25,1847.5,13.6,1,NA,NA,NA,NIR-08978,2022-01-20T14:52:20Z,6.7,23.27,43.38,63.58,9.25,11.13,12.5,3.87,2021_PLY_LU 6 Late-21_25_N19-1220_1_NIR-08978,6.5,56.4,64.6,2022-01-25T07:11:52Z,NA
N19-1303,PLY,LU 6 Late-21,2021,1,29,18,w,30,g,2,50,1286.7,16.9,1,NA,NA,NA,NIR-08990,2022-01-20T14:58:02Z,6.59,23.31,41.64,64.06,6.87,12.11,12.44,4.15,2021_PLY_LU 6 Late-21_29_N19-1303_1_NIR-08990,6.6,56.6,65.8,2022-01-25T07:24:21Z,NA
N19-0829,PLY,LU 6 Late-21,2021,1,8,19,p,30,t,2,40,1877,14.3,1,NA,NA,NA,NIR-08927,2022-01-20T14:26:27Z,7.54,20.83,45.73,57.46,10.22,15.82,11.81,5,2021_PLY_LU 6 Late-21_8_N19-0829_1_NIR-08927,7.3,56.5,74.8,2022-01-24T12:30:17Z,NA
N19-1065,PLY,LU 6 Late-21,2021,1,18,20,w,21,g,1,32,1828.1,15.1,1.5,NA,NA,NA,NIR-08957,2022-01-20T14:41:01Z,6.9,22.01,43.98,62.52,8.5,12.53,12.43,3.36,2021_PLY_LU 6 Late-21_18_N19-1065_1_NIR-08957,6.8,57.1,62.6,2022-01-25T06:38:42Z,NA
N19-1468,PLY,LU 6 Late-21,2021,1,36,21,p,26,t,1,34,1671.9,12.7,1,NA,NA,NA,NIR-09011,2022-01-20T15:07:19Z,6.87,23.3,41,66.16,8.92,5.51,13.17,4.54,2021_PLY_LU 6 Late-21_36_N19-1468_1_NIR-09011,6.4,57.1,66.9,2022-01-25T07:48:02Z,NA
N19-1323,PLY,LU 6 Late-21,2021,1,30,22,w,24,t,1.5,42,1739.5,15,1.5,NA,NA,NA,NIR-08993,2022-01-20T14:59:18Z,6.86,22.84,41.43,63.62,7.66,13.26,11.82,3.75,2021_PLY_LU 6 Late-21_30_N19-1323_1_NIR-08993,6.5,58.1,65.4,2022-01-25T07:28:00Z,NA
N19-0772,PLY,LU 6 Late-21,2021,1,3,23,p,26,g,1.5,42,1419.7,13.2,1.5,NA,NA,NA,NIR-08912,2022-01-20T14:19:26Z,7.21,21.22,43.57,60.16,8.65,14.75,11.96,4.22,2021_PLY_LU 6 Late-21_3_N19-0772_1_NIR-08912,7.5,58.4,72.5,2022-01-24T12:14:16Z,NA
N19-1357,PLY,LU 6 Late-21,2021,1,32,24,w,26,g,2,42,1837.5,13.6,1.5,NA,NA,NA,NIR-08999,2022-01-20T15:02:03Z,7.01,22.68,43.1,68.77,7.99,9.46,13.07,4.06,2021_PLY_LU 6 Late-21_32_N19-1357_1_NIR-08999,6.6,57.4,65.9,2022-01-25T07:33:57Z,NA
USDA-N6005,PLY,LU 6 Late-21,2021,1,40,25,w,20,g,1,27,1617.4,11.6,1,NA,NA,NA,NIR-09023,2022-01-20T15:12:19Z,6.63,23.27,40.5,64.55,8.82,8.04,13.51,4.13,2021_PLY_LU 6 Late-21_40_USDA-N6005_1_NIR-09023,6.3,56.1,68,2022-01-25T08:02:59Z,NA
N19-0762,PLY,LU 6 Late-21,2021,1,2,26,p,31,t,2,40,1739,13.2,1,NA,NA,NA,NIR-08909,2022-01-20T14:17:49Z,6.86,23.21,42.15,64.47,8.92,9.36,12.38,3.86,2021_PLY_LU 6 Late-21_2_N19-0762_1_NIR-08909,7.5,56.8,72.2,2022-01-24T12:11:14Z,NA
N19-0775,PLY,LU 6 Late-21,2021,1,4,27,p,20,t,1.5,37,2149.6,17.1,1.5,NA,NA,NA,NIR-08915,2022-01-20T14:20:50Z,7.13,23.44,44.11,65.43,7.29,11.27,12,3.66,2021_PLY_LU 6 Late-21_4_N19-0775_1_NIR-08915,7.2,55.4,75.4,2022-01-24T12:17:26Z,NA
N19-0837,PLY,LU 6 Late-21,2021,1,10,28,p,21,g,1.5,30,1484.9,13.3,1.5,NA,NA,NA,NIR-08933,2022-01-20T14:29:21Z,7.05,22.19,42.36,59.34,8.07,17.53,11.36,3.79,2021_PLY_LU 6 Late-21_10_N19-0837_1_NIR-08933,7.2,57.2,74.6,2022-01-24T12:36:14Z,NA
N19-0787,PLY,LU 6 Late-21,2021,1,6,29,w,20,g,1,37,1684.6,12.9,1,NA,NA,NA,NIR-08921,2022-01-20T14:23:44Z,6.97,23.45,43.58,64.53,8.62,11.16,11.97,3.82,2021_PLY_LU 6 Late-21_6_N19-0787_1_NIR-08921,7.4,55.9,73.7,2022-01-24T12:23:47Z,NA
N19-1072,PLY,LU 6 Late-21,2021,1,20,30,w,19,g,1,28,2015.2,13.2,1,NA,NA,NA,NIR-08963,2022-01-20T14:43:55Z,7.24,21.68,44.26,57.63,8.72,16.68,12.54,4.38,2021_PLY_LU 6 Late-21_20_N19-1072_1_NIR-08963,6.9,57.9,63.3,2022-01-25T06:45:26Z,NA
N19-1092,PLY,LU 6 Late-21,2021,1,21,31,w,19,t,1.5,32,1850.4,14.8,1.5,NA,NA,NA,NIR-08966,2022-01-20T14:45:26Z,7.15,22.25,47.83,61.83,7.28,17.12,10.13,3.59,2021_PLY_LU 6 Late-21_21_N19-1092_1_NIR-08966,6.8,56,64.9,2022-01-25T06:56:44Z,NA
N19-1066,PLY,LU 6 Late-21,2021,1,19,32,w,20,t,1.5,34,1841.9,13.8,1.5,NA,NA,NA,NIR-08960,2022-01-20T14:42:29Z,8.03,21.94,45.92,57.95,9.41,14.78,12.55,4.59,2021_PLY_LU 6 Late-21_19_N19-1066_1_NIR-08960,6.8,56.8,63,2022-01-25T06:41:47Z,NA
N19-1365,PLY,LU 6 Late-21,2021,1,35,33,p,27,g,2,39,1232.5,12.9,1,NA,NA,NA,NIR-09008,2022-01-20T15:06:03Z,7.39,21.05,44.52,55.25,9.91,18.37,13.38,5.02,2021_PLY_LU 6 Late-21_35_N19-1365_1_NIR-09008,6.6,57.2,66.5,2022-01-25T07:44:52Z,NA
N19-1021,PLY,LU 6 Late-21,2021,1,14,34,w,26,g,1,39,1338.3,12.3,1.5,NA,NA,NA,NIR-08945,2022-01-20T14:35:06Z,6.92,22.62,43.59,62.06,8.06,12.87,12.42,3.7,2021_PLY_LU 6 Late-21_14_N19-1021_1_NIR-08945,7.2,57.7,74.1,2022-01-24T12:50:26Z,NA
N19-0538,PLY,LU 6 Late-21,2021,1,1,35,w,26,g,2,38,1558.3,12.5,1,NA,NA,NA,NIR-08906,2022-01-20T14:16:30Z,6.86,22.8,42.64,69.61,8.42,6.13,13.36,4.2,2021_PLY_LU 6 Late-21_1_N19-0538_1_NIR-08906,7.5,57.5,70.5,2022-01-24T12:10:14Z,NA
N19-1241,PLY,LU 6 Late-21,2021,1,27,36,p,25,t,2,37,1492.3,11.9,1.5,NA,NA,NA,NIR-08984,2022-01-20T14:55:07Z,7.77,21.5,43.24,56.29,10.29,14.12,13.69,5.2,2021_PLY_LU 6 Late-21_27_N19-1241_1_NIR-08984,6.8,58.3,65.4,2022-01-25T07:18:18Z,NA
N19-0964,PLY,LU 6 Late-21,2021,1,12,37,p,19,t,1.5,31,1602.8,16.1,1.5,NA,NA,NA,NIR-08939,2022-01-20T14:32:21Z,6.92,22.74,43.47,54.26,7.12,23.32,11.09,3.63,2021_PLY_LU 6 Late-21_12_N19-0964_1_NIR-08939,6.2,59.9,74.3,2022-01-24T12:42:51Z,NA
N19-1093,PLY,LU 6 Late-21,2021,1,22,38,w,20,t,1,34,1709.5,12.9,1.5,NA,NA,NA,NIR-08969,2022-01-20T14:47:00Z,7.49,20.85,45.03,59.92,9.48,14.25,12,4.14,2021_PLY_LU 6 Late-21_22_N19-1093_1_NIR-08969,6.7,56.6,64.2,2022-01-25T06:59:51Z,NA
N19-1253,PLY,LU 6 Late-21,2021,1,28,39,p,26,g,1,31,1908.3,15.5,1,NA,NA,NA,NIR-08987,2022-01-20T14:56:47Z,6.65,22.27,44.22,69.42,7.54,7.51,12.2,3.69,2021_PLY_LU 6 Late-21_28_N19-1253_1_NIR-08987,6.6,55.8,65.2,2022-01-25T07:21:27Z,NA
N19-1364,PLY,LU 6 Late-21,2021,1,34,40,p,29,g,1.5,31,1522,15.4,1,NA,NA,NA,NIR-09005,2022-01-20T15:04:51Z,6.65,22.31,43.94,64.55,8.82,9.58,12.66,4.02,2021_PLY_LU 6 Late-21_34_N19-1364_1_NIR-09005,6.6,57.4,66.4,2022-01-25T07:41:26Z,NA
N19-1359,PLY,LU 6 Late-21,2021,2,33,41,p,26,t,1.5,37,2105.2,13.7,1,NA,NA,NA,NIR-09003,2022-01-20T15:03:59Z,7.13,21.97,44.78,61.18,9.08,13.51,11.29,4.63,2021_PLY_LU 6 Late-21_33_N19-1359_2_NIR-09003,6.9,58.3,64.1,2022-01-25T07:37:34Z,NA
N19-1253,PLY,LU 6 Late-21,2021,2,28,42,p,20,g,1,34,1906.6,15.5,1,NA,NA,NA,NIR-08988,2022-01-20T14:57:13Z,7.29,22.26,43.48,61.43,9.06,13.19,12.63,4.79,2021_PLY_LU 6 Late-21_28_N19-1253_2_NIR-08988,6.8,55.5,63.8,2022-01-25T07:22:02Z,NA
N19-1364,PLY,LU 6 Late-21,2021,2,34,43,p,26,g,1.5,33,1685.1,14.1,1,NA,NA,NA,NIR-09006,2022-01-20T15:05:15Z,7.04,21.58,43.79,68.73,8.73,9.17,13.2,4.3,2021_PLY_LU 6 Late-21_34_N19-1364_2_NIR-09006,6.9,57.3,63.6,2022-01-25T07:42:17Z,NA
N19-0538,PLY,LU 6 Late-21,2021,2,1,44,w,25,g,1,37,1669.8,12.5,1,NA,NA,NA,NIR-08907,2022-01-20T14:16:56Z,7.06,22.34,43.92,64.09,8.74,10.48,12.53,4,2021_PLY_LU 6 Late-21_1_N19-0538_2_NIR-08907,7.6,57.4,66.9,2022-01-24T12:08:13Z,NA
NC-Dilday,PLY,LU 6 Late-21,2021,2,39,45,p,19,g,1,34,1771.1,15.9,1,NA,NA,NA,NIR-09021,2022-01-20T15:11:28Z,7.17,23.67,41.6,64.1,9.26,11.3,12.51,4.14,2021_PLY_LU 6 Late-21_39_NC-Dilday_2_NIR-09021,6.5,57.2,65.9,2022-01-25T08:00:19Z,NA
N19-1220,PLY,LU 6 Late-21,2021,2,25,46,s,21,g,1,25,1778,14.9,1,NA,NA,NA,NIR-08979,2022-01-20T14:52:45Z,7.59,22.97,43.48,63.27,8.56,13.38,11.74,3.95,2021_PLY_LU 6 Late-21_25_N19-1220_2_NIR-08979,6.8,55.5,64.1,2022-01-25T07:12:37Z,NA
N19-1021,PLY,LU 6 Late-21,2021,2,14,47,w,26,g,1,38,1420.4,12.1,1.5,NA,NA,NA,NIR-08946,2022-01-20T14:35:34Z,6.8,22.82,44.14,64.31,8.87,10.57,12.35,3.93,2021_PLY_LU 6 Late-21_14_N19-1021_2_NIR-08946,7.4,58,69.2,2022-01-24T12:51:00Z,NA
N19-1365,PLY,LU 6 Late-21,2021,2,35,48,p,28,g,1.5,37,1631.2,11.9,1,NA,NA,NA,NIR-09009,2022-01-20T15:06:28Z,7.31,20.94,44.39,60.39,10.95,10.53,12.75,4.78,2021_PLY_LU 6 Late-21_35_N19-1365_2_NIR-09009,6.7,56.9,65.1,2022-01-25T07:45:42Z,NA
N19-0995,PLY,LU 6 Late-21,2021,2,13,49,p,27,g,1,29,1556,12.4,1.5,NA,NA,NA,NIR-08943,2022-01-20T14:34:11Z,7.57,19.84,44.89,66.23,9.22,6.16,10.72,4.49,2021_PLY_LU 6 Late-21_13_N19-0995_2_NIR-08943,7.7,58,68.9,2022-01-24T12:48:14Z,NA
N19-1349,PLY,LU 6 Late-21,2021,2,31,50,p,26,g,1,34,1927.2,13.1,1,NA,NA,NA,NIR-08997,2022-01-20T15:01:05Z,7.45,22,43.7,64.08,8.58,13.47,11.65,4.3,2021_PLY_LU 6 Late-21_31_N19-1349_2_NIR-08997,6.9,57.6,63.5,2022-01-25T07:31:42Z,NA
N19-0772,PLY,LU 6 Late-21,2021,2,3,51,p,26,g,1.5,43,1980.5,13.8,1,NA,NA,NA,NIR-08913,2022-01-20T14:19:53Z,7.03,22.28,42.14,60.08,8.3,14.72,11.74,4.03,2021_PLY_LU 6 Late-21_3_N19-0772_2_NIR-08913,7.8,58.3,67.9,2022-01-24T12:14:51Z,NA
N19-1468,PLY,LU 6 Late-21,2021,2,36,52,p,25,t,1.5,36,1783.2,12.9,1.5,NA,NA,NA,NIR-09012,2022-01-20T15:07:43Z,7.23,23.14,41.69,52.7,9.65,18.38,13.06,5.18,2021_PLY_LU 6 Late-21_36_N19-1468_2_NIR-09012,6.8,57.2,66.1,2022-01-25T07:50:17Z,NA
